Operator,Seed,BestFitness
tournament_swap,1,447.0
tournament_swap,2,445.0004
tournament_swap,3,441.00030000000004
tournament_swap,4,458.0001
tournament_swap,5,457.00030000000004
tournament_swap,6,428.0
tournament_swap,7,478.0003
tournament_swap,8,459.0001
tournament_swap,9,466.0
tournament_swap,10,478.0
tournament_swap,11,470.0
tournament_swap,12,480.0
tournament_swap,13,457.0
tournament_swap,14,453.0001
tournament_swap,15,446.0
tournament_swap,16,453.0001
tournament_swap,17,445.0001
tournament_swap,18,441.0
tournament_swap,19,419.0
tournament_swap,20,448.0002
tournament_swap,21,436.0
tournament_swap,22,457.0002
tournament_swap,23,442.0001
tournament_swap,24,441.0
tournament_swap,25,477.0001
tournament_swap,26,429.0
tournament_swap,27,402.00030000000004
tournament_swap,28,465.0002
tournament_swap,29,477.0
tournament_swap,30,473.0
roulette_swap,1,455.0002
roulette_swap,2,472.0001
roulette_swap,3,455.0
roulette_swap,4,451.0
roulette_swap,5,451.00019999999995
roulette_swap,6,449.0002
roulette_swap,7,471.0
roulette_swap,8,440.0
roulette_swap,9,461.0006
roulette_swap,10,466.0001
roulette_swap,11,465.0002
roulette_swap,12,453.0002
roulette_swap,13,480.0
roulette_swap,14,466.0
roulette_swap,15,458.0
roulette_swap,16,447.0005
roulette_swap,17,419.0
roulette_swap,18,451.0
roulette_swap,19,441.0001
roulette_swap,20,457.0
roulette_swap,21,453.0
roulette_swap,22,469.0004
roulette_swap,23,456.0
roulette_swap,24,467.0001
roulette_swap,25,429.0002
roulette_swap,26,444.0
roulette_swap,27,460.0001
roulette_swap,28,450.0001
roulette_swap,29,432.0001
roulette_swap,30,415.0
tournament_inversion,1,447.0
tournament_inversion,2,445.0004
tournament_inversion,3,449.0
tournament_inversion,4,459.0
tournament_inversion,5,457.00030000000004
tournament_inversion,6,428.0
tournament_inversion,7,478.0003
tournament_inversion,8,439.00030000000004
tournament_inversion,9,452.0002
tournament_inversion,10,478.0
tournament_inversion,11,475.0002
tournament_inversion,12,470.0003
tournament_inversion,13,457.0
tournament_inversion,14,477.0
tournament_inversion,15,433.0
tournament_inversion,16,467.0
tournament_inversion,17,445.0001
tournament_inversion,18,441.0
tournament_inversion,19,468.0
tournament_inversion,20,451.0
tournament_inversion,21,471.0
tournament_inversion,22,457.0002
tournament_inversion,23,476.0
tournament_inversion,24,441.0
tournament_inversion,25,484.0002
tournament_inversion,26,427.0
tournament_inversion,27,402.00030000000004
tournament_inversion,28,445.0
tournament_inversion,29,477.0
tournament_inversion,30,454.0
roulette_inversion,1,455.0002
roulette_inversion,2,472.0001
roulette_inversion,3,449.0
roulette_inversion,4,405.0
roulette_inversion,5,451.00019999999995
roulette_inversion,6,457.0
roulette_inversion,7,481.0002
roulette_inversion,8,457.0
roulette_inversion,9,461.0006
roulette_inversion,10,436.0
roulette_inversion,11,465.0002
roulette_inversion,12,462.0
roulette_inversion,13,465.0004
roulette_inversion,14,457.0
roulette_inversion,15,467.0001
roulette_inversion,16,447.0005
roulette_inversion,17,419.0
roulette_inversion,18,437.0
roulette_inversion,19,414.0
roulette_inversion,20,457.0
roulette_inversion,21,453.0
roulette_inversion,22,472.0
roulette_inversion,23,459.0
roulette_inversion,24,471.0
roulette_inversion,25,429.0002
roulette_inversion,26,444.0
roulette_inversion,27,452.0
roulette_inversion,28,467.0
roulette_inversion,29,432.0001
roulette_inversion,30,467.0
